faculty_phd,faculty_other,frac_research_phd,frac_research_other,research_budget_million,centres_of_excellence_count,teaching_load_per_faculty,diversity_index,industry_collaborations,student_count,num_courses,papers_t1,citation_percentile_avg,overall_rank,cost_efficiency
55.0,71,0.6300551642748937,0.05,4196.670778831039,13.0,10.744795118057247,0.4317855779242594,40.19850629472585,7111.0,252.0,5000.0,1.0,58.0,251.4599910987718
5.0,13,0.3186693599504146,0.05,1565.159923064611,4.0,5.172428871346138,0.6153673701749831,63.75575872230224,7111.0,28.0,5000.0,0.8681602670208307,382.0,132.9721118249659
5.0,13,0.3186693599504146,0.05,102682.86848564807,7.745500237522655,15.0,0.611939512346158,93.0,741.0,159.0,5000.0,1.0,58.0,251.4599910987718
5.0,13,0.3186693599504146,0.05,102682.86848564807,9.761767302526472,15.0,0.5836960831259723,54.09025253512824,3485.2028986156097,159.0,10.0,0.5363313322437352,158.10822226936648,56.59892391756853
199.0,79,0.6300551642748937,0.5501606340371358,102682.86848564807,14.0,9.964807075714578,0.1116416111106377,63.75575872230224,3116.4091209354274,71.0,10.0,0.5375601109921441,154.6524056770338,132.9721118249659
5.0,13,0.3186693599504146,0.05,102682.86848564807,4.0,15.0,0.6153673701749831,54.09025253512824,3485.2028986156097,159.0,5000.0,0.5363313322437352,154.3558976008949,132.9721118249659
55.0,64,0.3683739808285903,0.05,3745.910135767724,11.405053896591317,11.055492766758691,0.5216377360861622,39.0,7111.0,106.0,26.0,1.0,155.0,169.47577611197573
5.0,16,0.3773092272001529,0.05,509.15751842709625,13.0,11.055492766758691,0.5663422451550816,39.0,5539.571789499727,106.0,5000.0,1.0,132.40272802157,169.47577611197573
5.0,13,0.4696474137472572,0.05,315.703137938158,9.0,11.055492766758691,0.1116416111106377,91.1181059628343,5331.569325952098,254.0,26.0,0.5363313322437352,180.15237256467256,152.2067811201273
5.0,13,0.3773092272001529,0.1061548515080378,102682.86848564807,13.0,15.0,0.5836960831259723,93.0,741.0,159.0,5000.0,1.0,58.0,251.4599910987718
5.0,16,0.3683739808285903,0.5501606340371358,100000.0,4.010873377134887,11.055492766758691,0.7590248648124811,67.79256812569297,754.0,28.0,5000.0,1.0,144.70103242546557,152.2067811201273
5.0,16,0.3186693599504146,0.05,3921.101967019291,3.973992398803846,11.055492766758691,0.7590248648124811,54.09025253512824,7111.0,159.0,5000.0,1.0,470.0,132.9721118249659
5.0,13,0.3186693599504146,0.05,315.703137938158,7.745500237522655,15.0,0.611939512346158,40.19850629472585,3486.272482814983,159.0,5000.0,1.0,102.16153995767594,132.9721118249659
5.0,45,0.5274162757314584,0.05,100000.0,4.010873377134887,11.055492766758691,0.7590248648124811,40.19850629472585,3771.151691961366,98.45748224822091,5000.0,0.6627824792105674,144.58039122789683,56.59892391756853
